wit	﻿hmc	哲学: zhéxué	filosofi
ekn	形成: xíngchéng	forma
rqh	域: yù	field; region; area; domain (taxonomy)
oab	唯物: wéiwù	materialistisk
tru	内涵: nèihán	implikation
kqr	滋养: zïyâng	nourish
piu	紧跟: jîngën	follow precisely; comply with
fwo	步伐: bùfá	pace
ner	扎根: zhägën	slå rot
typ	沃土: wòtû	bördigt land
scv	紧盯: jîndïng	stirra
wdr	科技: këjì	science and tech
yux	前沿: qiányán	front line
pnz	实现: shíxiàn	genomföra
ota	伟: wêi	enorm
mol	确: què	äkta
hwe	指引: zhîyîn	vägleda
tsb	伴随: bànsuí	åstadkomma
uta	改革: gâigé	reform
fbr	觉醒: juéxîng	vakna; varsebli
wsd	相连: xiänglián	koppla
nbs	进程: jìnchéng	process
sjx	断: duàn		bryta av
