fickle	ombytlig
salary	månadslön
wage	lön, särskilt veckolön till arbetare
pernicious	skadlig
preponderance	majoritet; överlägsenhet
stickler	pedant
candid	uppriktig
exasperating	odräglig, enormt irriterande
goon	hejduk, tråkmåns, idiot
flunk	kugga
flunkey	rövslickande; passopp
onerous	betungande
inconsequential	obetydlig
expedient	ändamålsenlig, lämplig, fördelaktig
modulo	bortsett från
niceties	smådetaljer
flak	luftvärnseld, hård kritik
ubiquity	allestädesnärvaro
abject	yttersta
atrophy	förtvina
insofar as	i den mån som
perky	käck
onerous	betungande
awry	på tok
flaunt	stoltsera med
derision	förlöjligande
unrequited	obesvarad kärlek
exacerbate	reta upp, förvärra
confer	tilldela
whiz	snille
conspicuously	på ett iögonenfallande sätt
insidious	lömsk
concomitant	beledsagande
consummate	fulländad
subversive	omstörtande
eke out	dryga ut
supervene	inträffa
percolate	sippra igenom
adamant	obeveklig
siphon	hävert
squander	slösa bort
vie vying with	tävla med, kämpa mot
seminal	nyskapande, betydelsefull
commensurate with	sammanfallande med
sedentary	stillasittande
chaplain	präst (regements-, sjömans-...)
renege [ri'ni:g] on a promise	bryta ett löfte
cache	gömställe, förråd
intrepid	oförskräckt
gamut ['gämet]	spektrum, skala
coalesce	smälta samman, förenas
abrogate	upphäva (lag)
impunity	straffrihet
profligate	utsvävande, slösaktig
impecunious	utan pengar
inimical	fientligt sinnad
vocation	kallelse
deter	avskräcka
curtail	inskränka
egregious	gräslig
contingent	eventuell, betingad
shirk	smita undan (från jobb)
ephemeral	kortlivad (dagsländelik)
momentous	ödesdiger, betydelsefull
underpin	stödja
fortuitous	lyckosam
engender	föda
presage	förebåda
co-opt	välja in
pedigree	stamtavla
secession	utträde
stanch/staunch	hämma
contentious	omtvistad
default	underlåta att betala
contiguous	angränsande
unabated	oförminskad
destitute	utfattig
usher	föra, ledsaga
impede	hämma
culprit	den skyldige
precarious	osäker
nutmeg	muskot
impetus	rörelseenergi
circumspect	varsam
renegade	avfälling
maim	lemlästa
wanton	godtycklig, meningslös
animosity	fientlighet
prerogative	företrädesrätt (kungl.)
assiduous	ihärdig
apogee	höjdpunkt
helm	roder
contentious	grälsjuk, stridslysten, hettad
solicit	enträget be om
purported	påstådd
vagrancy	lösdriveri
disaffected	missnöjd
tenuous	tunn, obetydlig
disenfranchise	beröva rösträtt/rättigheter
marred	fördärvad
plebiscite	folkomröstning
lenient	överseende
pivotal	central, väsentlig
repudiate	förkasta
covet	åtrå
subversion	omstörtning, nedbrytning
