vpx	jam: kopp
mrj	bamdad: morgon
tvs	kutah: kort
rae	hämechiz dan: allmänbildning
qrl	﻿-and: 3 pers. pl.
vrs	-id: 2 pers. pl.
mxu	Qesmät: del
itc	Ba yeki ashna sh: lära känna någon
nix	Enqelab: revolution
lba	Hes e xub: en bra känsla
mts	Khosh amädid: välkommen
noy	Sobh be kheir: god morgon
qvy	Durud: hej
txi	Mämnun: tack
fxt	Bebakhshid: ursäkta
htx	Pänj-shänbe: torsdag
pac	Jome: fredag
wey	Sim: kabel
swa	Mähäli: lokal
low	Abnäma: fontän
imd	Tänha: ensam
yvi	Deh: by
fxn	Espänd: ceremoniell rök som skyddar
dij	Färhäng: kultur
wfg	Parsal: förra året
hye	Solh: fred
qif	Älbäte: självklart
qyi	Affärin: bravo
rym	Säpas: tack
lfh	Jabab: svar
ijw	Posht: baksida
jel	Bazäm: igen
tnh	Ashghal: sopor
xjp	Jähan, donya: världen
bef	Kosh: döda
tmg	Khoshayänd: trefligt
eyw	Inf.+i: Inf.värt
qad	Meæmar: arkitekt
ydm	Ärz: vara värt
waj	Moshkeli: problem
qxc	Tärif kon: berätta
aey	Khonak: sval
yov	Sär e: på
ira	Surakh: hål som man kan se genom
gqn	Pirahän: skjorta
kqi	Ghärb: väster 
zvp	Däräje: grader
adl	Si o se: 33
uyd	Mohem: viktig
ryu	Durugh g: ljuga
hjp	Näfär: person
azi	Ahän: järn
pzt	Gheymät: pris
rhy	Isterahäd kon: vila
gaz	Näzdig: nära
vsq	Shulugh: fullsmockat
wqd	Äsabani: arg
wch	Dobare: igen
rqw	Abezudi: snart
uel	Bazhäm: en till
ykw	Ävälin ...: första ...
tcp	Pain: nedåt
fqz	Khärab: sliten
pey	Käfsh: sko
cfo	Ghädimi: gammal, antik
obz	Färgh (dare): skillnad
mbe	Intori: på det här sättet
ojn	Seda: ljud
qmo	Adät kon: vänja sig
rbx	Shoma: ni
icu	Be näzär khub miad: verkar bra
wgj	-sära, -gah: ställe
