pan	﻿entretien: underhåll
ypb	suif: talg
vut	en déroute: routed
keg	débandé: unstrung
tvn	guenilles: tatters
bzi	allure: utseende
awb	accablé: drabbad
uzg	éreinté: utsliten
yve	rentier: pensionär
awx	plier: vika
etw	prompt: snabb
jxv	fantassin: infanterist
yno	draps: sheets
dly	écu: vapen, coat of arms
qwd	retentir: ljuda
gfp	redouter: fear
oxq	fanfarons: boasters
sbm	à l'outrance: excessive
fgk	reconnaissances: scouting
cua	sentinel: vaktpost
foq	remuer: stir
nyv	foyer: home
yft	naguère: once
krx	loque: trasa
mbv	disparate: patchwork
kvs	éperdu: upprörd
fnc	bedonnant: potbellied
csp	émasculer: castrate
wtz	broches à rôtir: roasting spits
zag	filer: fly by
yas	célérité: haste
ezt	volet: klaff
ncb	affolement: panic
tpu	cataclysme: naturkatastrof
ckb	piller: loot
juc	au nom du: on behalf of the
jry	fléaux: plagues
xrn	envers: back
kvo	plaindre: feel sorry for
hmo	répugnance: reluctance
bmw	ménageant: sparing
lnf	témérité: recklessness
moa	se chauffer: warm up
mbu	grouiller: swarm
lqr	outils de mort: tools of death
kdb	répandu: widespread
ogp	ensevelir: begrava
adg	gonfler: inflate
juf	périlleux: vådlig
xcm	enhardir: embolden
czv	gelée: frost
bmc	durcir: harden
ulc	intrépide: fearless
zht	entassement: piling up
ejo	atteler: harness
rbc	litière: litter
ijm	grelot: bell
qzy	manier: wield
xch	frémissement: shudder
aws	secousse: skakning
hnt	subitement: plötsligt
pyi	roidi: förstyvade
xbn	flocons: flingor
whu	miroiter: blänka, skimra
kmx	entremêlement: sammanblandning
tku	timon: shaft
pkt	se précipiter: rush
usx	le plancher: floor
yor	geindre: whine
syg	tantôt: ibland
kli	givre: frost
hca	aurore: gryning
ulf	filou: skojare
ygf	courtois: artig
tlz	navré: förkrossad
fei	bonne sœur: nunna
thb	la petite vérole: smittkoppor
zcs	chétif: puny
zkp	phtisique: lungsjuk
ags	piège: trap
etg	retranchements: förskansningar
atu	embonpoint: övervikt
zrc	précoce: brådmogen
hog	cils: eyelashes
xdn	hardi: djärv
mdz	faisceau: bunt, knippe
lqh	vergogne: shame
tan	dédaigneux: föraktfull
kao	quant à: as to
ysh	guetter: lura på, speja efter
joy	sombrer: sink
fkq	dégager: unblock
imj	affamé: starving
zpd	bâiller: yawn
juv	panier: basket
hly	banquette: seat
kzn	faïence: lergods
syo	timbale: cup
ynk	afin de: in order to
ybz	ne point toucher: not to touch
kbm	dévorer: sluka
gpw	détresse: ångest
san	avaler: sluka
oaw	essuyer: torka
ghf	crudité: råhet
fjm	éloquence: vältalighet
rpl	crapule: lymmel
kxj	tarir: torka ut, sina
teg	buée: mist
gas	fouiller: go through
bjz	paraître: appear
sgx	tressaillir: shiver
gqm	heurt: sammanstötning
vfr	fourreau: fodral
xeb	poil: hair
uqm	souffler: andas
olm	exaspéré: förbittrad
ity	gibier: game
rcl	illustre: berömd
pwv	opulence: överflöd
vid	replète: knubbig
nwl	peignoir: robe
ohv	bougeoir: ljusstake
lpy	bretelles: hängslen
bea	éplucher: peel
yzx	fendre: split
ore	aïeule: grandmother
lvu	bedeau: kyrkvaktmästare
hmt	presbytère: prästgård
ayl	fournir: tillhandahålla
fqi	cordiale: hjärtlig
jzv	indigné: upprörd
dbz	chope: mugg
nsy	écume: skum
hgl	dégourdir: stretch
wps	achever: finish
edb	échantillon: sample
vka	goujaterie: tölpaktighet
xjg	lamentable: beklaglig
ktc	caprice: nyck
iec	cramoisi: crimson
jni	étouffement: suffocation
qmx	clameur: clamor
nvr	réprobation: disapproval
ukw	commisération: medömkan
