zoh	hana: 1 (koreanska)
wgc	dul: 2 (koreanska)
otl	set: 3 (koreanska)
grs	net: 4 (koreanska)
mlp	daseot: 5 (koreanska)
gsd	yeoseot: 6 (koreanska)
dkx	ilgop: 7 (koreanska)
yfp	yeodeol: 8 (koreanska)
jhq	ahop: 9 (koreanska)
iyl	yeol: 10 (koreanska)
rve	il: 1 (sino)
wyk	i: 2 (sino)
cra	sam: 3 (sino)
skb	sa: 4 (sino)
kdn	o: 5 (sino)
wou	yuk: 6 (sino)
lwx	chil: 7 (sino)
qgr	pal: 8 (sino)
lqo	gu: 9 (sino)
nkx	ship: 10 (sino)
flm	najunge: nachher
eoa	takja oiee: på bordet
dub	hangugmal: koreanska
kyl	basseo: gesehen
xwy	boda: se
alm	museun: vilken
gsc	iosseo/yosseo: isch gsi
lpr	ottoke: hur
qri	chal ja: sov gott
ryg	halgoya: vill/ska göra
kqx	an: wött nöd
pzv	못: cha nöd
wif	monjo: zeoscht
pnh	Avocado reul shiro he: jag gillar inte avocado
pqz	bulgogi: eldkött
czr	Mod anja: cha nöd sitze
esm	An anja: wött nöd hocke
dab	oda: komma
loa	yeogi: här
dfp	jib i keuda: huset är stort
opv	mandeulgo isseo: I'm making
lxy	mal hada: tala
hre	mal an hago isseo: talar ej
pxq	mal an hesseo: har inte talat
gci	peuuda, pewosseo: lära sig
qmc	dashi: igen
wxc	eopsseo: har ingen...
csz	eoje: igår
ozk	oneul: idag
vox	mian he: sori
drc	anyeong: hej (då)
czi	gago isseo: går
fvi	eonje: när?
ghw	eodi: var?
xha	집에서: i huset, hemma
yit	igeo : det här
gwc	balda: tvätta
myd	ㅇㅋ: ok
tgj	ne ot: mina kläder
jkn	ia: är
wjn	뭐 mo: vad
saq	다: alles
ory	deo: mer
hfw	도: också
ilb	고마워: tack
lkh	hesseo: gemacht
grt	yeongo: forskning
utf	(jam) janda: sova
nqp	jasseo: sovit
qpo	jago isseo: is sleeping
seh	sajin: foto
tor	baji: byxor
tmc	나: jag
den	너: du
rwx	rang: och
yex	molla: vet inte
bpj	geunde: men
lgp	shipun: tio minuter
tzf	pigonhe: trött
arx	pegopa: hungrig
epq	pebulleo: mätt
zpe	jigeum: nu
aox	mogo: essen
dfh	mana: viel
