mjw	﻿taré	defekt
oue	prendre le pas sur	ta över?
gel	épanouir	a) slå (spricka) ut b) bildl. öppna sig; blomma ut, blomstra
otd	pesanteur	tyngd; tyngdkraft
lso	tâcher	försöka
olg	poussée	stöt
mgt	débordement	översvämning, utsvävande liv
jks	se ruer	kasta sig
gql	vice	last, fel
uwz	aire	yta
sfv	au ras de	jäms med
xsq	gorger	proppa
fdi	épurer	rensa
xbm	bêche	spade
phe	faubourg	förstad
fok	songer à	tänka på, dagdrömma
uns	arracher	rycka av
sfj	rendre	återlämna
kcz	cordon	snöre
005	tas	hop, hög
plb	creuser	urholka, gröpa ur
nbi	poignée	handfull, näve
vec	la moindre	det minsta
xhv	épouvante	skräck
wvq	à tout venant	till var och en, till förste bäste
zsp	demeurer	stanna, bli kvar (över), förbli
rwd	poutre	balk
jye	gésir	ligga
esw	livrer	leverera, överlämna
tps	étroit	trång
nif	domicile	hemvist
oby	étaler	ställa ut
uzv	puer	stinka
rva	frelon	bålgeting
bco	bourdonner	surra
tda	emplir	fylla
ajf	aigu	spetsig
wbs	débiter	såga upp, debitera
ras	chantier	bygge
ejx	aigre	syrlig
dtm	scie	såg
sye	lame	platta
ujy	plier	vika ihop
kny	meule	kvarnsten
ruz	encombré	belamrad
fsp	tiède	ljummen
vlz	jadis	fordom
fcz	tombereau	tippvagn
opg	impasse	återvändsgränd
orq	raser	snudda vid
ltw	nappe	yta, lager
sbc	bord	kant
zxv	poitrine	byst
jfo	ténèbres	mörker
sla	damier	rutmönster
006	mât	mast
oct	jaillir	välla fram, spruta fram
jrp	ruelle	gränd
hdx	feignant	lat
mky	feindre	låtsas
sdy	ne - point de	ingen, inget alls
007	pré	äng
wqi	cadence	takt, rytm
noh	bercer	gunga
vfo	sommeiller	slumra
vhw	côte	revben, backe
btj	rebrousser chemin	vända om
gkr	pente	lutning
fia	tant que	så mycket som att...
ekp	saule	pilträd
ucs	orme	alm
fua	se mirer	spegla sig
utq	franchir	korsa
mgd	versant	bergssluttning
knt	bout	ände, slut
keb	coude m	armbåge, krök
tep	border	kanta, infatta
xmv	ruban	band
cgp	lieue	fransk mil=4 km
drl	grossir	bli/göra fet
dsz	en amont et en aval	upp- och nedströms
oja	creux	ihålig; hål
phx	poussé	långt utvecklad
jad	broussaille	buske
mwi	évoquer	frammana, minnas
olj	se mêler	blandas
ejm	brouhaha	oväsen
bkh	foule	folkmassa
xcj	élan	älg; (an)sats, språng
qlb	entraîner	släpa, leda
doq	torrent	ström
uid	flot	våg, bölja
glh	frissonner	rysa
rkp	abri	skydd
kqb	appuyer	stödja, trycka
amn	étoffe	tyg
avn	tourbillon	strömvirvel
pbi	talus	sluttning, vall
jrm	faillir	vara nära att
dcn	traîner	släpa med sig
zgq	exaspéré	ursinnig
zxp	subir	genomgå
dmp	navette	skytteltrafik
nvd	croquer	knapra
fvs	magot	sparade pengar
yme	paille	halm
jnm	gueux	tiggare, lättfärdig kvinna
bwu	pavé	gatsten
oqw	implacable	oförsonlig
sea	déchoir	förfalla, förlora sin heder
lsq	mordre	bita
ozv	débauché	liderlig
evb	embrouillé	trasslig
hdo	veille	vaket tillstånd
qdy	la veille	dagen innan
bpy	sangloter	snyfta
nvp	secouer	skaka tr
rhn	fureter	snoka
rmj	s'emparer de	lägga beslag på, bemäktiga sig
oyf	ouvrier	arbetare
zco	se méprendre	missta sig
ywz	mépris	förakt
boy	bégayer	stamma
