bfm	ungeschickt: klumpig
qtd	Fühler m: känselspröt
ztj	tasten: treva, famla
qys	Narbe f - -n: ärr
pvb	regelrecht: ordentlig
nto	hinken sv: halta
aci	Napf m -s -¨e: skål
gkj	heikel: känslig, ömtålig
xpg	schnaufen sv: flåsa
uoq	kriechen kroch: krypa
vwm	Spalt m -s -e: springa
gwj	zünden sv: tända
zew	starr: stel
vop	Bedenken n: tvivel, betänksamheter
luy	zögern sv: tveka
oth	bedauern: beklaga
ckt	vorläufig: tillfällig; tills vidare
zsd	erträglich: uthärdlig; hyfsad
ktx	gegenwärtig: nuvarande
xal	bereuen: ångra
jky	Benehmen n -s 0: uppförande
bwl	treten tritt trat getreten: träda; trampa; sparka
vjc	ungeheuer: vidunderlig
kwg	drängen sv: tränga
duw	schießen schoss: skjuta
lkp	schütten sv: hälla
eit	Fetzen m -s -: trasa
kul	erraten: gissa sig till
bfa	Knochen m -s -: benknota
wmy	Käse m -s -: ost
yva	zart: öm, späd
kgs	da: där, då
cvy	schwirren: surra, svirra
efv	Befriedigung f - -en: belåtenhet
avq	tränen: tåras
fog	schleppen sv: släpa
vpj	ersticken sv: kväva; kvävas
mnx	quellen quillt quoll gequollen: välla; svälla
tup	Besen m -s -: sopkvast
vxm	Kübel m -s -: balja
glt	blähen sv: blåsa upp
qno	leiden litt: lida
frm	sich begnügen: nöja sig
fvl	Seufzer m -s -: suck
uma	haschen sv: gripa
cay	horchen sv: (tjuv)lyssna
szy	kniefällig: på sina bara ben
yrd	Schwur m -s -¨e: ed
vbq	Beleg m -s -e: kvitto
maf	Glanz m -es -e: glans
csb	Aufwand m -s 0: utgifter
bpc	erwähnen: nämna
vni	bestehen bestand: bestå; klara
mvf	bescheiden: anspråkslös
elo	Vergnügung f - -en: nöje
wpj	scharren sv: krafsa
kiv	scheuen sv: sky, frukta
rdv	stemmen sv: stödja
tzw	lauern sv: lurpassa
npr	billigen sv: godkänna
tsa	ausharren: hålla ut
upw	Vergünstigung f: förmån
ivw	unterlassen unterlässt unterließ: låta bli
yon	verzichten sv: avstå
ksw	verrammeln sv: bomma för
kxt	Gefallen n -s -: tjänst; behag
apq	bedrücken sv: tynga
rvo	flüstern sv: viska
nrb	verlangen: begära
wvf	gestatten: tillåta
idg	ausstatten: utrusta
izr	Höhle f - -n: grotta, håla
tzd	freilich: emellertid; faktiskt
xbj	rütteln sv: skaka, vibrera
phv	entbehren: vara utan
win	sich getrauen: våga
juy	ächzen: stånka
kzj	stocken sv: komma av sig
hwk	eingestehen: erkänna
rlk	nähren: föda upp, nära
cst	Trubel m -s 0: liv och rörelse
usf	unweigerlich: oundviklig
gwu	Säge f - -n: såg
wpv	Laub n -s 0: lövverk
xis	Erschöpfung f: utmattning
wcs	tappen sv: tassa
iko	sich verschnaufen: hämta andan
wqz	Gegenwart f - 0: närvaro; nutid
cjo	allerdings: visserligen
adq	zittern sv: darra
jft	eindringlich: enträgen
ejy	kramen: rota
pif	Besorgnis f - -se: oro
nat	bedrängen: ansätta, tränga
hyv	dumpf: dov
gmq	flüchten sv: fly
zjo	straff: stram
zwl	dringen drang gedrungen: tränga ut, komma ut
alu	zerzausen: rufsa till
hrq	sich ereignen: ske
ird	zumal: i synnerhet som
xfw	Bosheit f: ondska
qpe	torkeln: ragla
vma	zielen sv: sikta
hzs	stolpern sv: snava
upd	gewissermaßen: på sätt och vis
sez	lebhaft: livlig
das	Verlangen n: längtan, begär
fyo	nähen sv: sy
izx	sich weigern: vägra
tbs	Vorgesetzte m/f: chef
dzh	auf etw. dat. bestehen: insistera på
pov	auf jmdn. eindringen: ge sig på ngn.
pfk	schütteln sv: skaka
vnu	an etw. dat. zupfen: rycka i ngt.
xkr	verfangen verfängt verfing verfangen: fungera
zxs	Träne f - -n: tår
our	gebührend: tillbörlig
akq	Schwenk m -s -e/s: vridning
rdt	kehren sv: vända
snd	Knäuel mn -s -: garnnystan, papperstuss
riv	kränken: såra
ygq	beleidigen: förolämpa
jcu	Krampf m -s -¨e: kramp
tqg	schluchzen sv: snyfta
lvb	zischen sv: väsa
tsq	etw. dat. überdrüssig sein: vara utled på ngt.
stg	vernachlässigt: misskött
yzu	Witwe f - -n: änka
dxh	Mistkäfer m -s -: tordyvel
zxn	speien speit spie gespieen: spotta
obh	sich mit jmdm. aussöhnen: försona sig med ngn., förlika sig med ngt.
cgu	Kram m -s 0: grejer
iyt	schleudern sv: slunga
lhn	winden wand gewunden: virra, linda
ygc	Schüssel f - -n: skål
bia	mürbe: mör
fby	Mannigfaltigkeit f: mångfald
omv	kauen sv: tugga
zkm	Kiefer m -s -: käke
ute	ausrichten: uträtta; hälsa
qak	ertönen sv: ljuda
efl	bereiten: förorsaka; göra iordning
dbt	scheuern: skrubba, skava
fzi	Makel m -s -: skamfläck
sqc	Scheu f - 0: blyghet
qgx	begegnen sv: möta
dyc	Schoß m -es -¨e: knä, sköte
bld	loswerden: bli av med
bio	knicken sv: knäckas
hzl	Nüster f - -n: näsborre
rbq	sich trauen: våga
vdi	kitzeln: kittla
omy	pfeifen pfiff: pipa, vissla
fwt	krepieren: krevera
sxq	verwinden: övervinna
mda	Demut f - 0: ödmjukhet
pku	Geländer n -s -: räcke
pyz	Gelände n -s -: terräng; område
xni	Ungeziefer n -s 0: ohyra
kwy	den Computer anmachen: sätta på datorn
kha	horchen: lyssna uppmärksamt
psx	lauschen: tjuvlyssna
mwu	Bünzli: typisk schweizare
roa	Spiesser: typisk tysk
pgq	Rasen mähen: klippa gräset
